kikuyu	english
“Wee Jehova-rĩ, njetereire kũhonokania gwaku.	His brothers also went and fell down before his face; and they said, “Behold, we are your servants.”
Matukũ-inĩ ma tene nĩndamenyire kuuma kĩrĩra-inĩ gĩaku, atĩ wagĩthondekire kĩrĩ gĩa gũtũũra nginya tene. Kũhooya Ũteithio	Of old I have known from your testimonies, that you have founded them forever. RESH
Ngũmwĩra atĩrĩ, aca! No rĩrĩ, mwaga kwĩrira, o na inyuĩ inyuothe mũkaniinwo o tao.	I tell you, no, but unless you repent, you will all perish in the same way.
Mũndũ ũrĩa ũiyaga, nĩatige gũcooka kũiya, nĩ kaba arute wĩra, akenogagia, na ekage maũndũ mega na moko make, nĩgeetha agĩe na kĩndũ angĩgayana na arĩa mabataire.	Let him who stole steal no more; but rather let him labor, producing with his hands something that is good, that he may have something to give to him who has need.
Wee wonanagia wendani waku kũrĩ andũ ngiri na ngiri, no ũkaherithania nĩ ũndũ wa mehia ma maithe, ũkaũkinyĩria ciero-inĩ cia njiarwa ciao iria igooka thuutha wao. Wee Mũrungu mũnene na ũrĩ hinya, o wee rĩĩtwa rĩaku arĩ Jehova Mwene-Hinya-Wothe,	“I have surely heard Ephraim grieving thus, ‘You have chastised me, and I was chastised, as an untrained calf. Turn me, and I will be turned, for you are Yahweh my God.
Ndĩramwandĩkĩra, inyuĩ maithe, tondũ nĩmũmenyete ũrĩa warĩ kuo kuuma o kĩambĩrĩria. Ndĩramwandĩkĩra, inyuĩ andũ ethĩ, tondũ nĩmũtooretie ũrĩa mũũru. Ndĩramwandĩkĩra, inyuĩ twana twakwa nyendete, tondũ nĩmũmenyete Ithe witũ.	I write to you, fathers, because you know him who is from the beginning. I write to you, young men, because you have overcome the evil one. I write to you, little children, because you know the Father.
Nĩgũkorwo Ũrĩa-Ũrĩ-Igũrũ Mũno, o We ũtũũgĩrĩtio na ũtũũraga tene na tene, ũrĩa wĩtagwo mũtheru; ekuuga atĩrĩ: * 57:6 Mahiga manyoroku maahũthagĩrwo gũtungatĩra ngai cia mĩhianano.	For the high and lofty One who inhabits eternity, whose name is Holy, says: “I dwell in the high and holy place, with him also who is of a contrite and humble spirit, to revive the spirit of the humble, and to revive the heart of the contrite.
“ ‘Nĩ ũndũ ũcio, wee mũmaraya ũyũ, igua kiugo kĩa Jehova!	“Therefore, prostitute, hear Yahweh’s word:
Ndagakenera tũrũũĩ, njũũĩ iria ithereraga ũũkĩ na ngorono.	My breath is offensive to my wife. I am loathsome to the children of my own mother.
na Kaini, na Gibea, na Timina; mothe maarĩ matũũra ikũmi na tũtũũra twamo. Na Halihuli, na Bethi-Zuru, na Gedoru,	Kain, Gibeah, and Timnah; ten cities with their villages.
Igũrũ na thĩ nĩigathira, no ciugo ciakwa itigathira. Mũthenya na Thaa Itiũĩkaine	Heaven and earth will pass away, but my words will not pass away.
Arokũrehere ũteithio kuuma handũ harĩa hake haamũre, na agũtiirĩrĩre arĩ kũu Zayuni.	My God, I cry in the daytime, but you don’t answer; in the night season, and am not silent.
Nguraro na kwĩnyararithia nĩcio igai rĩake, na cio thoni icio ciake gũtirĩ hĩndĩ igaathario ithire;	He will get wounds and dishonor. His reproach will not be wiped away.
O ta ũrĩa makara magwatagia marĩa mangĩ mwaki, na o ta ũrĩa ngũ ciakanagia mwaki, noguo mũndũ mũũgiti aakagĩrĩria haaro.	As coals are to hot embers, and wood to fire, so is a contentious man to kindling strife.
Ngĩĩra Beliteshazaru, mũnene wa ago othe atĩrĩ, “Nĩnjũũĩ atĩ roho wa ngai iria theru ũrĩ thĩinĩ waku, na gũtirĩ ũndũ ũrĩ hitho-inĩ ũngĩkũrema. Gĩkĩ nĩkĩo kĩroto gĩakwa; nawe he ũtaũri wakĩo.	“Belteshazzar, master of the magicians, because I know that the spirit of the holy gods is in you and no secret troubles you, tell me the visions of my dream that I have seen, and its interpretation.
Isiraeli agĩtunya Aamori matũũra mothe mao marĩa manene na magĩtũũra kuo, o hamwe na Heshiboni na tũtũũra tuothe tũrĩa twarigainie nakuo.	Israel took all these cities. Israel lived in all the cities of the Amorites, in Heshbon, and in all its villages.
Paũlũ kwambĩrĩria Rũgendo rwa gũthiĩ Roma Na rĩrĩa gwatuirwo atĩ nĩtũkũhaica marikabu tũthiĩ Italia, Paũlũ na andũ arĩa angĩ mooheetwo makĩneanwo kũrĩ mũnene-wa-thigari-igana rĩmwe, warĩ wa mbũtũ ya Agusito, wetagwo Juliasi.	1 When it was determined that we should sail for Italy, they delivered Paul and certain other prisoners to a centurion named Julius, of the Augustan band.
O na gũtuĩka Elinathani, na Delia, na Gemaria nĩmathaithire mũthamaki ndagacine ibuku rĩu rĩa gĩkũnjo-rĩ, nĩaregire kũmathikĩrĩria.	Moreover Elnathan and Delaiah and Gemariah had made intercession to the king that he would not burn the scroll; but he would not listen to them.
Makomaga o ro ũndũ ũmwe tĩĩri-inĩ, na eerĩ-rĩ, igunyũ ikamahumbĩra.	They lie down alike in the dust. The worm covers them.
Akiuga atĩrĩ, “Onei, nĩndĩrona igũrũ rĩhingũkĩte nake Mũrũ wa Mũndũ arũgamĩte guoko-inĩ kwa ũrĩo kwa Ngai.”	and said, “Behold, I see the heavens opened and the Son of Man standing at the right hand of God!”
Jehova ekuuga atĩrĩ, “Ũkai tũciire. O na mehia manyu mangĩkorwo matunĩhĩte ta gakarakũ-rĩ, nĩmagathera o ta ira; o na maatuĩka matunĩhĩte ta thakame, nĩmakerũha o ta guoya wa ngʼondu.	“Come now, and let’s reason together,” says Yahweh: “Though your sins are as scarlet, they shall be as white as snow. Though they are red like crimson, they shall be as wool.
Nĩũkagũa werũ-inĩ ũtarĩ kĩndũ, nĩgũkorwo nĩ niĩ njarĩtie ũhoro ũcio, ũguo nĩguo Mwathani Jehova ekuuga.	You will fall on the open field, for I have spoken it,” says the Lord Yahweh.
Ndeto njega nĩ igua rĩa ũũkĩ, irĩ mũrĩo ngoro-inĩ, na harĩ mahĩndĩ nĩ ũgima.	Pleasant words are a honeycomb, sweet to the soul, and health to the bones.
Nĩgũkorwo nguona ũiyũrĩtwo nĩ marũrũ na ũgatuĩka ngombo ya mehia.”	For I see that you are in the poison of bitterness and in the bondage of iniquity.”
Kĩhuhũkanio kĩnene gĩkaamahaata kĩmombũkie, na magongona mao nĩmakamaconorithia.	The wind has wrapped her up in its wings; and they shall be disappointed because of their sacrifices.
Ũkĩrai, tũthiĩ! Ũrĩa ũkũngunyanĩra nĩarooka.” Jesũ Kũnyiitwo	Arise! Let’s get going. Behold, he who betrays me is at hand.”
Wĩteithũre o ta ũrĩa thwariga ĩĩteithũraga kuuma moko-inĩ ma mũguĩmi, o na kana ta ũrĩa nyoni ĩĩteithũraga kuuma mũtego-inĩ wa mũtegi.	Free yourself, like a gazelle from the hand of the hunter, like a bird from the snare of the fowler.
Nũũ mũtumumu tiga o ndungata yakwa, o na kana nũũ ũtaiguaga ta mũtũmwo ũcio ndũmĩte? Nũũ mũtumumu ta ũrĩa wĩheanĩte biũ kũrĩ niĩ, na nũũ mũtumumu ta ndungata ya Jehova?	Who is blind, but my servant? Or who is as deaf as my messenger whom I send? Who is as blind as he who is at peace, and as blind as Yahweh’s servant?
na ndegwa igĩrĩ, na ndũrũme ithano, na thenge ithano, na tũtũrũme tũtano twa mwaka ũmwe, irutwo irĩ igongona rĩa ũiguano. Ici nĩcio indo iria ciarutirwo nĩ Abidani mũrũ wa Gideoni.	and for the sacrifice of peace offerings, two head of cattle, five rams, five male goats, and five male lambs a year old. This was the offering of Abidan the son of Gideoni.
