English,Kikuyu
What optimal ecological requirements for cabbage?,Hihi nīmaūndū marīkū maria matūrigicīire magīrīire ūkūria-inī wa kabicī?
"700 – 2,200 metres above sea level altitude.At least 500 mm of rainfall.16 – 20 0C growing temperature.","mita 700 nginya mita 2,200 igūrū wa iria. Mbura ītanyihīire 500 mm na ūrugarī wa ithimo cia 16 degree Celsius"
Well drained sandy or silty loam soils.High organic matter content.pH range 6.0 – 6.5,Tīri ūraikūrūkia maaī wega kana tīri mūirū mūhinyu. Tīri mūnoru mūingī na ūrūrū wa gītagatī kuuma 6.0 pH nginya 6.5 pH.
What are the growing requirements for cabbages in Kenya?,Nī maūndū marīkū mabataranagia ūkūria-inī wa mboga būrūri-inī wa Kenya?
Cabbage is a cool season crop which requires an optimum growth temperatures range of 15- 20° C.,Mboga nī mūmera wa kūndū kūrī heho na ūbataraga ūrugarī wa ithimo cia kuuma 15°C nginya 20°C
Head formation reduced at temperatures higher than 25 degrees Celsius.,Gūkūmba kwa mboga  nīkūnyihaga ūrugarī ūngīthiī makīria ma 25°C
It requires adequate well distributed rainfall.,"Ībataranagia mbura ya kūigana
 kīmera gīothe."
Moisture levels are especially critical during the early stage of the crop growth.,ūigū wa tīri nīwa bata makīria kīambīrīria-inī kīa gūkūra kwa mūmera
"If the levels are low, irrigation should be used to supplement and relive the moisture stress.","Angīkorūo tīri ndūrī na wūigū wa kūigana, hebata gūitīīrīria maaī nīgūo kūehereria mūtangīko owothe ūngīrehwo nī wagi wa maaī."
What is the recommended fertilizer rate for cabbage growing?,Hihi nī mūigana ūrīkū wa bataraitha wagīrīire kūhūthīrwo mūgūnda-inī wa mboga?
"Apply 2 – 3 handfuls of manure per planting hole (8 tons/īka) and 2 half-litre water bottle tops (10 g) of DAP per planting hole (80 kg/īka).DAP should not be applied on acid soils, use DSP, TSP or NPK .","Īkīra ngundi igirī nginya ithatū cīa thumu o irima (ūū nīkuga ūkūhūthīra tani inyanya cia thumu kūhanda īka ya mboga) ūcoke wongerere ngūnīko īmwe ya cuba ya maaī(gramu ikūmi) ya bataraitha mūthemba wa DAP irima-inī rīu (ūū nīkuga kiro mīrongo īnana cia bataraitha nīikūhūthīka kūhanda mboga īka īmwe). DAP ndīagīrīirwo kūhūthīrwo mūgūnda-inī ūrīna tīri ūrūrītio nī acid, hūthīra bataraitha mīthemba ya DSP, TSP kana NPK."
