English,Kikuyu
How to manage a brooding hen?,Hihi ingītungata atia ngūkū ikomereirie?
A broody hen should be separated from the flock to prevent other hens from disturbing her.,Ngūkū īkomereirie ībatīī gūtigithūkanio na ngūkū iria ingī nīguo itikamīthīnie.
Keep the hen in a separate nest with free access to fresh water and feed within a short distance,Nīwega kūmīakīra gītara kīikarītie kīhandū īgūkinyīra maaī na irio ītegūthiī mūno
What is brooding?,Gūkomereria nī gwīka atia?
This is the habit of birds sitting on eggs in the nests. It appears in flocks in case of stress or when they are underweight,Ūyū nī mūtugo wa ngūkū gūikarīra matūmbī gītara-inī. Mūtugo ūyū wonekaga rīrīa ngūkū iratangīka kana ona rīrīa igūithītie ūritū wacio.
How to avoid broodiness?,Hihi tūngīgiria atia ngūkū mūtugo wa kwenda gūkomera?
Prevent floor laying.,Nīwega kūgiria ngūkū kūrekeria thī.
Close nest in the evening (4 hours to lights out).,"Hinga itara cia kūrekeria hwai-inī, mathaa mana mbere ya ndūma kūingīra."
Collect eggs 4-6 times a day.,Ūngania matūmbī maita mana nginya matandatū o mūthenya.
Avoid leaving broody hens to brood on the floor to stop the spread of the behavior.,Ndūgatige ngūkū ironania kwenda gūkomera ikomererie matūmbī thī nīguo mūtugo ūyū ndūkaiyukio nī ngūkū ingī.
Avoid high stocking densities which compromises feeder and drinker space per bird.,Ndūgakīrie namba ya ngūkū iria ciagīrīire harī kīūmba nīguo ītikahatīkane īkīria na īkīnyua.
Make a broody pen. For a 300 sq. m. house the dimension of the pen should be 1sq m. this is enough to accommodate up to 5 birds.,Thondeka gītara gia gūkomereria. Kīūmba kia ūnene wa 300 sq M kīrabatara gītara kia ūnene wa mita imwe kwa imwe kīrīa kīngīhūthīrwo nīngūkū ithano.
How to improve survival rates of chicks (Brooding),Tūngīhota atīa kūongerera uhoti wa tūcui gūkūra?
Brooding is rearing of chicks until they are able to survive on their own,Brooding nī kūrera njui nginya rīrīa ikahota kwīikaria.
"Chicks should be protected from excess heat and cold, starvation, dehydration, predators and rodents","Njui ibataiī kūgitīrwo kuumana na ūrūgarī mwīngī na heho, kūhūta, kūnyota, ona nyamū ingīcirīa."
Which types of brooding exist?,Hihi njui itūrīkithagio na njīra irīkū?
Artificial and natural brooding,Kwī njīra ya kīīrīu na ya ndūire.
What is natural brooding?,Hihi njīra ya ndūire nī īrīkū?
A broody hen rears the hatched chicks (providing heat and help them to get food),"Ngūkū yarīkia gūkomereria na njui igacarīkio, īcokaga kūrera njui icio na njīra ya gūcigitīra heho na gūciteithia gwetha irio."
Put food and clean water near the chicks,Igīra njui irio na maaī matheru.
Protect the chicks from predators and rodents using improvised devices,Gitīra njui kuumana na nyamū ingīcirīa ūkīhūthīra indo cia gūcingatithia.
"To reduce deaths, house the hen and chicks in the hut at night, put them in enclosures during the day with quality protein feed","Nīguo kūnyihia ikuo, njui na nyina ihingirwo ciūmba-inī, ningī ona kūrī mūthenya, ihingīrwo na iheo irio irī na protein njega."
What is artificial brooding?,Hihi njīra ya ūreri wa tūcui ya kīīrīu nī īrīkū?
Can be used to rear day-old chicks,Njīra īno no īrūmīrīrwo kūrera njui irī na ūkūrū wa kuuma mūthenya wa mbere.
The following can be used to provide heat: 1. Charcoal jiko: one is adequate for 500 chicks 2. Kerosene lamp: one is adequate for 50 chicks 3. Hay box or Baskets 4. Electricity: one infra-red lamp for 250 chicks or 60-100 watt,Indo ici no iharīrio nīguo ihe njui ūrūgarī: 1. Njiko ya makara; imwe nī njiganu harī njui magana matano. 2. Tawa wa maguta; ūmwe harī njui mīrongo ītano. 3. Ithandūkū ria nyeki kana mbaketi. 4. Thitima; ngirobu īmwe ya 60-100 watts ya ūtheri mūtune harī njui magana merī ma mīrongo ītano.
How to monitor temperature in the chicken house?,ūngīhota atīa kūramata ūrugarī kīūmba-inī kia ngūkū?
"Temperature above the floor should be kept at 32oC for the first week, and then lowered by 4oC for each week up to the 4th week","Ūrūgarī wagīrīirwo kūigwo ūrī gīthimo-inī kia 32oC wiki ya mbere, ūgacoka ūgathiī ūkīnyihagio na gīthimo kia 4oC o wiki nginya wiki ya kana."
Observe the reaction of chicks to the heat,Hebata kūrora kana njui neiratangīka nīūgarūrūku ūyū wa ūrugarī.
"At correct brooding temperatures, chicks are evenly spread within the brooder ring","Rīrīa ūrugarī ūrī ithimi-inī iria ciagīrīire, njui ikoragwo ihūrunjūkīte wega thīinī wa haria irarererwo."
At low temperature they crowd around the heat source,"No kūngīkorwo kūrī na heho, njui icokanagīrīra ikarigicīria kīhumo kia ūrugarī."
At high temperature the chicks will move away from the heat source,"Ūrugarī ūngīkīra, njui cieheragīra kīhumo kiagūo."
How to hatch many chicks at once?,Hihi ingītūrīkia njui nyingī hamwe atīa?
Either broody hen or broody duck can be used to achieve this:,"Nīguo ūndū ūyū ūhinge, ngūkū kana mbata irenda gūkomera no ihūthīrwo."
Broody hen can be used to sit on up to 15 eggs continuously for at least 2 times by removing hatched chicks every time they hatch and replacing them with new eggs,Ngūkū no ikomererie matumbī ikūmi na matano irūmanīrīirie maita merī kwa njīra ya kūmiehereria njui na kūmīigīra matūmbī mangī.
Ducks can sit on 30-35 eggs and can be used for up to 6 consecutive times,"Mbata no ikomererie matumbī mīrongo ītatu nginya mīrongo ītatū na matano, na noīrūmanīrīrie gūkomereria maita matandatū."
Turkey can raise up to 50 chicks,Mbata mūcinga noīrere njui mīrongo ītano.
"Hatching many chicks around the same time makes it easy to feed, vaccinate and sell","Gūcarīkia tūcui tūingī hamwe nīkūhūthagia mīhere ya irio, kūhe njajo ona kwendia."
"When hens that start laying within the same week get broody, the first hen to become broody can be delayed by being given one (1) egg to sit on.","Rīrīa ngūkū iria ciambīrīirie kūrekia kahinda ga kiumia-inī kīmwe ciambīrīria kūonania kwenda gūkomera, ngūkū īrīa īkuonania īrī ya mbere no īhenererio na njīra ya kūmīigīra itumbī rīmwe."
"This is repeated for second, third, fourth so that all hens are set on one day","ūndū ūyū ūcokagīrio kūrī ngūkū ya kerī, ya gatatū, ona ya kana, nīguo ngūkū ciothe iharīrio na ciigīrwo matumbī ikomererie ihinda-inī rīmwe."
"When ready to set, get rid of all the dummy eggs","Warīkia kūharīria, eheria matumbī mothe mahūthīkīte gūcihenereria."
What is the correct size of a laying and broody nests?,Hihi itara cia kūrekeria na gūkomereria ibataiī gūkorwo na ūnene ūrīkū?
A nest box measuring 30 x 30 x 30 cm is enough for 5 layers. Place in a wind free area,Gītara kīmwe kīrīa kīngīhūthīrwo nī ngūkū ithano gībatiī gūkorwo na ithimo cia sentimita 30 x 30 x 30. Gībatiī kūigwo handū hatakinyaga rūhuho.
It is advisable to place the laying nests in the dark part of the house to prevent exposure to the sun,Nīwega kūiga itara cia kūrekeria handū harīa he nduma thīiniīwa kīūmba kia ngūkū handū riūa rītarakinya
A calabash or nest basket may measure 40 x 20 x 25 cm (upper diameter x height x lower diameter). A clay pot is made more or less the same as calabash,Gītara gia kīihūri kana ona giakītwo na kiondo no gīkorwo na ithimo cia 40cm x 20cm x 25cm. Gītara kia nyungū no kīhanane na gia kīihūri.
Any nest material should be removed and burnt after every brood to kill parasites and get rid of diseases especially those made of grass and wood shavings,"Itara ciothe, makīria iria ithondeketwo na nyeki na maranda, no mūhaka ikarutwo na igacinwo o thutha wa ngūkū gūcarīkia tūcui nīguo kūūraga tūgunyū na kūnina mīrimū."
Avoid building nests on the ground outside the chicken houses as eggs outside houses are more exposed to predators and thieves,Ndūgathondeke itara njaa ya ciūmba cia ngūkū nīūndū matumbī no marīo nī nyamū kana ona maiyūo
Nests should be placed inside the chicken house and preferably above the ground (1 for every 5 hens),Nīwega gwaka itara thīinī wa kīūmba kia ngūkū na makīria handū igūrū (gītara kīmwe harī o ngūkū ithano)
Nests should be of the right size for the hen to feel comfortable,Gītara kiagīrīire gūkorwo gīkīnene ūndū ngūkū īkwīganīra ītarī nathīna.
Don’t give food while the hen is in the nest,Ndūkahe ngūkū irio irī thīinī wa gītara.
The first eggs should not be collected or used for hatching,Matumbī ma mbere matibatie kūrūtwo itara-inī kana ona kūigīrwo hīndī ya gūkomereria.
What is a Brooder?,Hihi bruda nīkīī?
A brooder is a special room designed to provide optimal conditions for the growth and development of the day-old chicks in the first three weeks of their lives.,Bruda nī handū ha mwanya hathondekagwo harongoreirio gūteithia tūcui twa kuuma ūkūrū wa thikū imwe nginya wiki ithatū gūkūra wega.
What are the qualities of a good brooder?,Hihi maūthī ma bruda njega nī marīkū?
