English,Kikuyu
What are the best dairy cattle breeds for milk production in Kenya?,Nī ng'ombe irīkū njega cia iria kūrīthia būrūri-inī wa Kenya?
Friesian which has a large body frame (one of its main characteristics) and high milk yield.,Friesian nī ng'ombe ya iria īrī mwīrī mūnene (īmwe ya ngumo nene yayo) na wūingī wa iria.
it has the ability to produce 20-25 Liters of milk per day with a butterfat content of 3.5%.,īkoragwo na ūhoti wa kūruta lita 20 nginya 25 cia iria o mūthenya na 3.5% mūigana wa maguta ma butter fat.
Ayrshire which was developed in a region known for it's rolling hills.,Ayrshire īgicoka guciarithanio gīcigo-inī kīrī na irīma nyingī.
The animal can survive in rugged terrain as the one it was carved out of.,Ng'ombe īno no īhote gūtūūra kūndū kūrī irīma ta kūria yaciarithanīirio.
Ayshire is characterized by the red and white colors that it carries on the skin.,Aryshire īmenyekaga nīūndū wa matūūrī mayo mūtune na merū.
It has symmetrically shaped udders and a smooth body.,Ningī nī īrī mūkamo wūigananīirie na mwīrī mūnyoroku.
Guernsey which originated from channel islands close to the north coast of France.,Guernsey īrīa kīhumo kīayo nī Channel Islands hakuhī na rūgongo rwa rūteere rwa iria ria Faranja.
Their skins have shades of fawn with clearly defined white markings with a yellowish pigment.,Nayo īno ikoragwo na matūūri merū na ngoikoni thitu
"They carry horns that are inclined forward, refined with a medium length, and tapers towards the tips. The horns are also characterized by their small size and yellowish color at the base","Guernsey ciarī na hīa nene ciarorete na mbere, ningī igakorwo na ūraihu wa gatagatī, igacekeha mithia-inī na igakorwo irī na rangi wa ngoikoni gītina-inī."
the Jersey breed which was developed in the largest Channel islands of Jersey.,Mūthemba wa Jersey ūrīa waciarithanīrio Channel Island ya Jersey
What are the characteristics of a dairy cow?,Ng'ombe ya iria īkoragwo na maūthī marīkū?
"Wide rump, pins and thighs enable a dairy cow to calve relatively easily.","Ng'ombe ya iria īrī na ciīga nene cia thutha,iria imīteithagia ndīkagiīke mūno īgīciara."
"A broad and big rib cage (barrel, stomach, chest) enables the animal to eat lots of feed for milk production.","Makīria ma ūguo, gīthūri na nda nene nīihotithagia ng'ombe kūrīa irio nyingī, iria irī cia bata harī kūheana iria."
"A steep foot angle is associated with better mobility, less hoof trimming, and longer life.","Magūru marūngarū nī mahotithagia mīthīīre mīega, makanyihia gūconga kwa mahūngū na makaraihia ūtūro wa ng'ombe."
"The hock joint is at a moderate angle, and the rear legs are straight.",Maru ma magūrū ma thutha mabatiī kūrora ūndū ūkūhotithia magūrū mau kūrūgama marī marūngarū.
The hock is flat and clean and shows no swelling. Sickle legs put too much strain on leg muscles and tendons,"Ningī, mabatiī gūkorwo marī matheru na matarī maimbu. Magūrū magonyoku nīmagiragia ng'ombe īrūgame na njīra njega."
"A large udder indicates high milk production. Ideally, quarters are evenly balanced, soft, and well-collapsed after milking.",Mūkamo mūnene wonanagia iria rīingī. Ningī wīgayanitie maita mana maiganaine na ūhūaga wega thutha wa gūkamwo.
A high and firmly attached udder is essential for long-term dairy performance.,Mūkamo mūnyitū na ūtari mūikūrūkū mūno ni wa bata hari kūheana ūmithio wa kahinda karaya.
"High udders are related to less mastitis, fewer udder injuries, and longer life.",Mūkamo wa mūthemba ūyū ndūrwaraga mūrimū wa mūkamo kana o na kūgia na nguraro kaingī.
"Udders should not hang below the hock, but the cow's age needs to be considered.",Mīkamo ndūagīrīire ngūcuha thī ma maru harī ng'ombe itarī ngūrū.
"In addition, the udder should have little movement when the cow is walking.","Makīria ma ūguo, ng'ombe igīthiī, mūkamo ndwagīrīirūo nī gūceera mūno."
Cows that are too thin or have a poor body condition at calving will produce less milk and are more likely to have fertility problems.,"Ningī ng'ombe īngīkorwo īrī hīnju mūno ihinda-inī ria gūciara, irūtaga iria inini na nīicokaga īkagīa na mathīna ma ūciari."
What are the factors that affecting successful breeding?,Nī maūndū marīkū mangītūma gūciarithania ng'ombe kūgacīre?
"Age at first calving: The animals selected must not be too mature or too young and selection for optimum body weight i.e., 55% of mature weight is necessary.","Ūkūrū wa ng'ombe rīrīa iraciara riita rīa mbere: Ng'ombe īrīa īthuragwo ndīagīrīirwo gūkorūo īrī ngūrū mūno kana īrī nini mūno, na gūthurwo gwacio kūringana na ūritū ūrīa wagīrīire wa mwīrī, ūguo nī kuuga 55% ya ūrītū wa ng'ombe icio rīrīa ciīng'ima."
"Therefore, when age at first service is 14-15 mts, the age at first calving becomes 22.5 to 23.5 months for maximum lifetime profit being.","Nī ūndū ūcio, rīria ng'ombe yaheyo mūbira īna ūkūrū wa mieri ikūmi na īna nginya ikumi na ītano, ītanyagwo gūciara gītagatī-inī kīa ūkūrū wa mieri mīrongo īri na īri nginya mīrongo īri na īna nayo baida īkoneka kahinda-inī ka mūtūrīre wayo."
Calving interval: Rebreeding after calving depends upon the involution and uterine health of the cow.,"Ūtaganūkū wa maciara: Kūnyita nda īngī thutha wa gūciara, kuumanaga na kūhona na ūgima mwega wa nyūngū ya mwana."
"Extension of inter-calving period from 12 to 14 months or more results into substantial reduction financial return over feeding costs as there will be loss in milk, calves produced per cow etc.","Kūraihanīrīria mūno kwa maciara kuuma mīeri 12 nginya 14 nogūcūngirīrie ūnyihu wa baida ūkīringithania na irio iria ng'ombe īyo igūkorwo īrīte, ūnyihu wa iria na wa njaū iria īgūciarwo nī ng'ombe īyo."
"Therefore, there will be considerable financial loss if the calving interval extends beyond 365 days in cows and 395 days in buffaloes.","Nīūndū ūcio, nogūkorwo na unyihu wa baida angīkorwo maciara nīmekūraihanīrīria makīria ma mwaka ūmwe harī ng'ombe."
Inter service interval or interbreeding interval: It is the number of days between services.,Interservice / interbreeding interval ni matuku maria ngombe yoyaga kuuma yaheo mbegu nginya rīrīa icokaga kuheo rīngī
Inter-service intervals of more than 40 days is common. To shorten it heat detection three weeks after insemination is useful.,"Nīguo kahinda gaka kanyihe, kūrora ndariri cia mūrukī kahinda-inī ka wiki ithatū thutha wa kūhe mbegū nīūndū ūrī bata."
Period of the standing heat: This depends on the efficiency of estrus detection in all cows.,Ihinda rīrīa ng'ombe īrūgamaga īna mūrukī nīguo īhaicwo: Nīkūringanaga na wathi wa kūmenya rīrīa ng'ombe īna ūrugarī.
"But, cow fertility depends upon a number of factors, including the semen quality, correct handling of semen straws, AI-breeding technique and timing of insemination.","Ūhoti wa ng'ombe kūgwatia ūringanaga na maūndū matiganīte ta wagīrīru wa mbegū, kūmenyerera mbegū na gūciga wega, kūhe mbegū na njīra njega na ihinda rīrīa riagīrīire."
Detection of estrus: For successful fertilization correct estrus detection is essential.,"Nīgetha ng'ombe īgwatie, he bata kūmenya ihinda rīrīa rīega rīa kūhe mbegū."
Approximately 50% of the estrous periods go undetected on the average dairy farm.,Hakuhī nuthu ya ng'ombe cia iria nīciagaga kūmenyeka rīrīa irī na mūrukī.
"Proper timing of insemination: Once Ovulation has occurred it is estimated that the viable life of the egg is less than 12 hrs, unless it becomes fertilized as Sperm require about 6 to 10 h to reach the lower portion of the oviduct.","Ihinda rīrīa rīega rīa kūhe mbegū: Rīrīa ng'ombe yagīa mūrukī, kwīrīkanaga atī itumbī rīikaraga muoyo mathaa manyihīire 12, tiga angīkorūo nīrīgūcemania na mbegū ya njamba tondū mbegū ciendaga mathaa matandatū nginya ikūmi nīguo ikinye mūkiha-inī wa gūikūrūkia itumbī."
Therefore the proper timing of insemination is to inseminate cows at 6 hrs after estrus (standing heat) so that adequate numbers of motile sperm are present in the oviduct.,"Gūkīri ūgūo, ihinda riega riakūhe ng'ombe mūbira nī mathaa matandatū kuuma yetīkira kūrūgama nīgūo īhaicūo."
"Handling of semen straws while AI:To maintain maximum fertilization rates, shaking of the straw while thawing at at 37°C for at least 30 second.","Ūmenyereri wa mībira ya AI; Nīguo kūgīe na ūma wa kugwatia, hebata mūbira ūgaikio maaī-inī mararū marī na ūrūgarī wa 37°C ūkīinainagio kahora kwa ihanda ria nuthu ndagīka."
"Once thawed, inseminate immediately so as to prevent from cold or heat shock.","Thutha ūyu, mbegū īno īkīrwo thīinī wa ng'ombe narūa nīgūo ndīgathūkio nī heho kana ūrugarī."
Embryonic losses: Early embryonic loss is critical during 15 or 16 days when the embryo is developed sufficiently to overcome uterine secretion of PGF2α.,Kūhuna; Ūndū ūyū wonekaga thikū cia mbere 15 nginya 16 thutha wa ng'ombe kūoha nda.
Additional late embryonic losses can occur during the period of 25 to 40 days after insemination due to failure of attachment to the uterine wall.,"Ningī ūndū ūyū no wongerereke thikū-inī cia 25 nginya 40 thutha wa kūheo mbegū, nīūndū gacaū gatirī karenyitīrira wega thingo-inī cia nyūngū ya nyina."
Fertility and season : Hot season and high humidity decrease fertility of a cow due to reduction in appetite.,"Ūciari na ihinda ria kūhe mbegū; Ihinda rīa ūrugarī na ūgunyu mūingī riera-ini, nī itūmaga ng'ombe inyihie ūhoti wa kūgīa tūcaū tondū nīiremagwo ni kūrīa."
"Heat stress reduces blood estradiol concentrations, progesterone levels, follicular activity and ovulation.",Ūrugari mūingī nī ūnyihagia homoni cia uciari ona ningī gūkūra na kūingīha wa matumbī.
Provision of cooling systems may have a beneficial effect on fertility but the best time of fertility achieved in winter months.,"Kūgīa na indo cia kūnyihia ūrugari no kūrehe moimīrīra mega harī kūgīa njaū, no ihinda rīrīa rīega rīa kūgīa njaū rīkinyaga mīeri iria ya heho."
Dry period: Dry period is a critical component of a dairy cows.,Ihinda rīa gūtiga gūkamwo na kūruta iria; Rīrī nī ihinda rīabata harī ng'ombe.
"Where duration of gestation cannot be shortened, but significantly affect the health or viability of the newborn calves.","Rīrīa ihinda rīa gūkua nda rītangīnyihanyihio, no rīhotomie ūgima wa mwīrī wa tūcaū tūrīa tūricoka gūciarwo."
Nutrients required during this period include the maintenance for the cow plus that required by the developing foetus.,Irio iria ciendekaga ihinda-inī rīu rīa mieri ya muico ya nda nī hamwe irio iria ng'ombe īyo īkūīte nda ībataraga itukanīte na iria njaū īrīa īrathiī īgīkūraga ībataraga.
Usually 50 days is ideal for ensuing lactation.,Kaingī ihinda rīa gūtiga gūkama kana kūruta iria rīagīriīre thikū 50.
How can I optimize reproduction efficiency in my dairy herd?,Ingīka atia nīguo ngacīrithie gūciarana kwa ng'ombe rūru-inī rwakwa?
Optimizing reproductive efficiency depends upon the successful completion of the following events:,Kūgacīrithia gūciarana kwa ng'ombe kūringana na maūndū maya:
(1) a heifer must reach puberty before the start of the breeding season,(1) Mori no mūhaka yonanie mogarūrūku ma mwīrī mbere ya gwītia ndūme
(2) conceive early in the breeding season,(2) Kūgīa ihu kīambīrīria-inī kīa ihinda ria gūcirithania
(3) calve unassisted,(3) Gūciara ītegūteīthio
(4) the calf must survive to the time it is marketed,(4) Njaū no muhàka īikare īgikūraga nginya rīrīa īkwendio
What are the available breeding methods?,Hihi njīra cia gūciarithia ng'ombe nī irīkū?
"Natural mating, artificial insemination (AI), or embryo transfer","Gūtwara ng'ombe kūri ndūme, kūhe mūbira wa AI, kana kūhe mūbira wa embryo"
How do I synchronize estrus cycles for efficient breeding?,Nī njīra irīku ingīrūmīrīra kūhotithia ng'ombe ciakwa gūītia ndūme irī hamwe?
This can be done by your local vet to ensure the usage of generally accepted and registered drugs/methods.,ūhoro ūyū no wīkwo nī ndagītarī wa mahiū wa gīcigo kīanyu nīguo atigīrīre atī dawa iria īkūhūthīka nī iria jītīkīrie na ciendekithītio.
What are the nutritional requirements for lactating dairy cows to support successful breeding and calf health?,Nī irio irīkū ciagīrīire kūheo ng'ombe cia iria nīgwo īhote kūnyita mūbira na njaū ikūre irī na ūgima mwega wa mwīrī?
Calcium and phosphorus supplementation amounts and ratio are important in young growing animals in support of bone development and in lactating cows for milk production,Irio ciongereirwo calcium na phosphorus kwa mūigana ūria wagīriīre nī ciabata kūrī njaū irakūra gūteithīrīria gūkūria mahīndī na ng'ombe iria irakamwo nīūndū wa gūthondeka iria.
"How can I monitor and manage reproductive health issues, such as infertility or low conception rates, in my dairy herd?","Ingīhota atīa kūrora na kūhiūrania na maūndū megiī ūgima mwega wa ūciari, ta kwaga kūgīa ciana kana kwaga kūgīa ihū, thīinī wa rūūru rwakwa rwa ng'ombe cia iria?"
"This can be achieved by managing breeding challenges by ensuring you use a breeding stock that has desirable genetic traits,","ūndū ūyū no ūhinge na njīra ya kūhiūrania na mathīna ma ūciari na gūtigīrīra atī ūracagūra ng'ombe cia gūciarithania iria irī na ngumo na maūthe mega ma ūciari,"
