English,Kikuyu
Which varieties of coffee are grown in the Kenya?,Nī mīthemba īrīkū ya kahūa īkūragio gūkū Kenya?
"SL 34 suitable for high altitude area;SL 28 at a spacing of 9ft by 9ft suitable for medium to high altitude area, has good rooting system, high yielder but susceptible to diseases.","SL 34 īrīa īhandagūo kūndū kūrīa kūrī irīma; SL 28 īhandagūo na ūtaganu  wa fiti kenda gwa kenda na yagīrīire kūhandwo kūndū kūrīa kūrī irīma, īkoragwo na mīri mīega, īgīaga na magetha maingī no nīinyitagwo nī mīrimū raithi."
"K7 suitable for low altitude area, has good rooting system, high yielder but susceptible to diseases.","K7 nīyagīraga kūndū kūrīa gūtarī igūrū mūno, īkoragwo na mīri mīega, īciaraga mūno noo nīīnyitagwo nī mīrimū raithi."
"Ruiru 11 is suited to all coffee growing zones in Kenya at a spacing of 6ft by 6ft. It is a high yielder, has best population per unit, high disease tolerance but with poor rooting system.","Mūthemba wa Ruiru 11 ūhandagwo kūndū guothe kūrīa gūkūragio kahūa Kenya na ūtaganu wa futi ithathatū gwa ithathatū. Nīūkoragwo na maciaro maingī, na ūkoragwo na ūhoti mūnene wa kūhūrana na mīrimū noo ndīrī mīri mīega mūno."
"Batian is the newest variety in the country, is suited to all coffee growing zones in Kenya, a high yielder, has good population per unit, moderate disease tolerance but with moderate rooting system.","Batian nī mūthemba ūrīa mūerū mūno būrūri-inī ūyū, nīūhandagwo kūndū guothe kūrīa gūkūragio kahūa Kenya, nīūciaraga mūno, nīūhandagwo itina nyingī harī īka, nīūhotaga gūitiria mīrimū na nīngīūkoragwo na mīri ītambaga kūndū kūnene."
Which is the recommended spacing for coffee?,Itina cia kahūa ciagīrīirwo gūtaganūkanio atia hīndī ya kūhanda?
Different varieties require different spacings.,Mīthemba ngūrani ya kahūa īhandagwo na ithimo ngūrani
"Ruiru 11 spacing of 6ft by 6ft. It is a high yielder, has best population per unit, high disease tolerance but with poor rooting system.Batian is at a spacing of 7ft by 8ft.","Mūthemba wa Ruiru 11 wagīrīire ūtaganu wa fiti 6 kwa 6 na nīūrīmaciaro maingī oharī gītina, ūhandagwo itina nyingī harī īka, nī wītiragia mīrimū no mīri ndītheremaga wega. Batian yendaga ūtiganu wa fiti mūgwanja kwa inyanya."
Which is the best coffee variety to plant?,N īmūthemba ūrikū mwega wa kahūa kūhanda?
The best variety to plant will depend on the zone as different varieties are suited for different ecological zones.,Mīthemba īrīa mīega ya kūhanda īcagūragwo kūringa na rīera rīa matūra na tīīri.
"However Ruiru 11 is a high yielder, has best population per unit, high disease tolerance but with poor rooting system,  it is suited to all coffee growing zones in Kenya .","Ona Kūrī ūguo,mūthemba wa Ruiru 11 nīūciaraga mūno, ūhandagwo itina nyingī harī īka, nīūhotaga gwītiria mīrimū noo mīri ndītheremaga ūrīa kwagīrīire. Ruiru 11 nīihandagwo matūra mothe kūria kahūa kahandagwo."
"Other coffee varieties commonly grown are SL-28, SL-34, K7, Ruiru 11 and Batian.","Mīthemba īngī ya kahūa īrīa īhandagwo mūno nī SL-28, SL- 34, K7, Ruiru 11, na Batian."
What is SL variety?,Hihi mūthemba wa SL nī ūrīkū?
SL is a coffee variety suitable for middle altitudes.,SL nī mūthemba wa kahūa ūrīa ūkūraga wega kūndū gūtarī irīma nene kana mīaragano-inī.
"It's known as SL since it was selected in former Scott Laboratories- Now Kabete,Kenya.","Mūthemba ūyū wītagwo SL kuumana na kīhumo kīagwo kīrīa nī Scott Laboratories, īrīa ūmūthī yūīkaine ta Kabete Kenya."
The strain has a long stem which is suitable for absorbing more nutrients from the soil.,Mūthemba ūyū nī mūraihu ūndū ūrīa ūtūmaga ūhote kūrīa irio nyingī kuuma tīīrī-inī kwa wīingī.
"The SL 28 cultivar was selected at the former Scott Laboratories (now the National Agricultural Laboratories, NARL situated at Kabete) on a single tree basis from the Tanganyika Drought Resistant variety selected in Northern Tanzania in 1931.","SL 28 yacagūrirwo kuuma mūgūnda-inī wa Scott Laboratories īrīa rīū niyo National Agricultural Laboratories, NARL Kabete na waciarithanirio kuuma kūrī mūthemba ūngī warutītwo Tanzania ya rūgongo mwaka-inī wa 1931 ūrīa ūrī ūhoti wa gūītiria wagi wa maaī."
The prefix SL in the variety name are acronymous for Scott Laboratories where the variety was selected. The name is completed by a serial number (28) for the selection. The variety is suited for medium to high altitude coffee growing zones.,SL nī ndemwa cia mbere cia Scott Laboratories na 28 nī namba ya kīrathi kia mūthemba ūyū. SL28 īkūraga wega kūndū kwaraganu ona kūrī irīma kūrīa kahūa gakūragio.
SL 34 was also selected at the former Scott Laboratories from French Mission Coffee.,Mūthemba wa SL 34 onagwo waciarithanīirio mūgūnda-inīo ūyū wa Scott Laboratories kuuma mūthemba wa Faranja.
The cultivar is adapted to high altitude areas with good rainfall.,Kahūa gaka gaciaraga wega kūndū igurū kana irīma-inī na kūndū kūrī mbura nyingī.
It is majorly characterized by dark bronze shoot tipped plants with a few green-tipped strains.,Mūthemba ūyū wīkūranite nīūndū nīūrī mathangū marī rangi wa gītīri gīcamu na ngirini.
What is Ruiru 11 variety?,Ruiru 11 nī mūthemba ūrikū wa kahūa?
Ruiru 11 variety was released in 1985. The variety name has the prefix “Ruiru” referring to the location of the Kenyan Coffee Research Station where the variety was developed.,"Ruiru 11 yarekereirio mwaka-inī wa 1985, na wetanītio na kūrīa wathundūrīirwo, Kenya Coffee Research Station."
"The name is completed by an additional two code numbers, 11.",Rītwa rīrī rīrūmīrīirwo nī namba ikūmi na īmwe.
"The first code number denotes the type of variety as a one way cross between two designated parent populations and the second number defines the sequence of release, in this case the first release.",Namba īmwe ya mbere īkoragwo īkīrūga mīrīra mūthemba wa mbegū nayo 1 ya kerī īkoragwo īkīrūgamīrīra namba harīa ya rekereirio mūtaratara-inī wa kūrekererio kwa mbeū.
The variety is not only resistant to CBD and CLR but is also compact allowing farmers to intensity production per unit land especially in high potential areas where population is high and coffee is in competition with other crops and farm enterprises required for food security and income.,"Mūthemba ūyū nīūhotaga gwītiria mīrimū ya CBD na CRL na nīngī mbegū ciagwo ikoragwo irīnyitu ikahothia mūrīmi kūona magetha maingī, makīria kūndū kūrīa gekaga wega na kūrīa itina nyingī ihandītwo o īka. kwoguo kahūa gagakorwo na ūhūrani wa mwanya gakīringithanio na mīmera īrīa īngī."
Ruiru 11 is planted at a density of 2500/3300 trees/ha compared to 1300 trees/ha for the traditional varieties.,Ruiru 11 yagīrīirwo kūhandwo gatagatī ka mīmera ngiri igīrī īmwe na magana matano nginya ngiri ithatū na magana matatū hectare-inī īmwe ūkiringithania na mītī ngiri imwe na magana matatū ya kahua mīthemba ya kīmerera.
This translates into a higher production per unit area of land.,Ūū nīkuuga atī Ruiru 11 nīrī magetha maingī kūrī mīthemba īngī.
"The variety comes into production earlier, hence earlier realization of benefits to the farmers.",Ningīkoyaga ihinda inini gūkūra na kwoguo mūrīmi akagīa magetha tene na akajia kūgūnīka.
