English,Kikuyu
What are some of the climatic conditions that favor avocado growing?,Nī rīera rīrīkū rīteithagīrīria gūkūra wega kwa mītī ya mīkorobia?
Avocado performs best between 1500-2100m a.s.l. with 1000 mm of well-distributed rainfall,"Mīkorobia īkūraga wega gatagatī-inī ka mita 1500-2100 igūrū kūma iriainī, na 100mm cia mbura njega."
It has very low tolerance to salinity.,Mūceni na thumu nīwagīrīire kuongererwo harī tīīri ūtarī mūnoru
"If the pH is above 6.5, Gypsum (CaSO4) may be used to lower it.","Angīkorwo ūrūrū wa tīīri nī makīria ma 6.5, CaSO4 noītūmīke kūmīgūithia."
1200 to 2200 meters above sea level,Ūraihu wa mita 1200-2200 kūuma iria-inī.
Why does Kenya present a  favourable climate  to avocado production?,Nīkīī gītūmaga būrūri wa Kenya wonekane wīna rīera rīega rīa kūrīma makorobia?
Avocado trees require tropical or subtropical climate because they can’t tolerate either freezing or extreme heat.,Mītī ya mīkorobia īkūraga wega kūndū kwīna rīera ihehu na kūria kūrī gatagatī-inī nīundū ndīngītiria ūhehu mūkīru kana rīera ihiū mūno.
Kenya’s climate is perfectly suited for Hass avocado farming because it lies at the equator.,Rīera rīa būrūri wa Kenya nīrīega na kūrīma mītī ya makorobia ya hass nīundū wīna rīera rīa gatagatī-inī
Hass avocados thrive in Kenya because different areas experience either equatorial or tropical climates.,Mītī ya mīkorobia ya hass īkaga wega nīūndū icigo ngūrani ikoragwo na rīera rīa gatagatī-inī kana ihehu.
What are the ecological requirements for hass production?,Nī rīera rīrīkū rīagīrīire ūrīmi wa mīkorobia ya hass?
Altitude range between 1000-2000m;,Ūraihu wa kuma iria-inī wa gatagatī ka 1000-2000m.
Well distributed rainfall throughout the year of 1000mm-1600mm;,Mūigana wa mbura wa 1000-1600mm īraura mwaka wī wothe.
Irrigation in dry season or in areas with inadequate rainfall;,Kūhe maaī nī kwa bata mahīnda ma riūa inene kana icigo iria ciīna mbura ītarī njiganu.
Optimum temperatures of 20°C-24°C;,Ūrugarī ūrīa wagīrīire nī wa gatagatī ka 20°-24°c.
"Loose, sandy or loamy soils, well-draining with pH ranging 5-7;","tīīri ūtarī mūnyitu ta wa rīūmba, wīna mūthanga,  ūtaraiga maaī na wīna ūrūrū wa gatagatī ka 5-7."
Minimum of 6 full hours of sunlight a day,Mathaa matanyihīire 6 ma riūa mūthenya.
How is fertilizer top dressed in avocado?,Mītī ya mīkorobia īheagwo bataraitha atīa?
What is the recommended amount of fertilizer that should be used in avocado growing?,Nī mūigana ūrīkū wa bataraitha wītīkīrīkīte kūhūthīka harī ūrīmi wa mīkorobia?
Quantity of manure and fertiliser application is dependent on the soil fertility and the age of trees.,Mūigana wa thumu na bataraitha ūringanaga na ūnoru wa tīīri na ūkūrū wa mītī.
Nitrogen is the most important nutrient in avocado.,Nitrogen nīcio irio cia bata harī mīkorobia.
"Basal fertilizers are absorbed by the plants through the roots and include DAP, CAN, NPK, UREA, among others.","Bataraitha cia mūthingi itūmīkaga nī mīmera kūhītūkīra mīri nanītacio DAP, CAN, NPK, UREA na ingī nyingī."
"Farmyard manure could also be added, depending on the organic matter of the soil",Thumu wa mahiū nowongererwo kūringana na ūnoru wa tīīri.
What are some of the foliar fertilizers used in avocado production?,Nī bataraitha irīkū cia mathangū ihūthīkaga harī ūrīmi wa makorobia?
"They include OPTIMIZER, DIMIPHITE, ZINC GOLD, LAVENDER, GOLDCHANCE SERIES, VITABOR GOLD, among others.","Nacio nīta:OPTIMIZER, DIMIPHITE, ZINC GOLD, LAVENDER, GOLDCHANCE SERIES, VITABOR GOLD na ingī nyingī."
How much water does it take to produce 1kg avocado?,Nī mūigana ūrīku wa bataraitha ūngīthīkaga gūciarithia kiro īmwe ya makorobia?
"You need 2,000 litres to produce a kg of avocado fruit",Ūbataraga lita ngiri igīrī cia maaī gūciarithia kiro īmwe ya makorobia.
How is pollination enhanced in avocado orchard?,Hihi gūciara kwa mītī ya makorobia kūngīgacīrithio atia?
The type of avocado cultivars planted in an orchard will contribute to the expected yield.,Mīthemba ya mītī irīa mīhande nīyo īgūteithia kūgīa na maciaro marīa merīgīrīirūo.
There are two types of avocado that flower at different times of the year (type A and type B).,Nī kūrī mīthemba īrī ya mītī ya avocado īrīa īcanūkana hīndī ngūrani mwaka-inī(Mūthemba A na B).
Hence cross pollination leads to higher yields than self -pollination.,"Nī ūndū ūcio, gūciarithania kwa mītī ngūrani nīkūrehaga maciaro maingī kūrī gūciarithania mītī ya mūthemba ūmwe."
The presence of bee hives within the orchard is recommended as bees are the main pollinators of avocado.,Nīwega kūiga mīatū ya njūkī thīinī wa mīgūnda ya makorobia nīūndū njūkī nīcio irutaga wīra ūrīa mūingī wa gūciarithania mītī ya mīthemba ngūrani ya makorobia
One should avoid applying chemicals that are harmful to bees.,Mūndū agīrīirūo gwīthema kūhūthīra dawa iria ingīūraga njūkī.
Avocado starts bearing within 3 years after transplanting.,Mīkorobia yambagia gūciara mwaka-inī wa gatatū thutha wa kūmīruta tuta-inī.
Peak harvest occurs between July-August.,Magetha maingīhaga gītagatī-inī kia mweri wa mūgwanja na wakanana.
Why is mulching important in avocado production?,Mūūceni nī wa bata ūrīkū ūkūria-inī wa mīkorobia.
Mulching is undertaken to conserve moisture and to add organic matter to the soil.,Mūūceni nī wa bata harī kūhonokia maaī na kūnoria tirī.
Sawdust should be avoided as it decomposes and ties up nitrogen.,Mura ndwagīrīire kūhūthīka nīūndū nīwohaga nitrogen warīkia kūbutha.
Dry leaves may also be used as mulch.,Mahuti momū no mahūthīrwo gūthondeka mūūceni.
Cultivate around the trees to keep them weed free.,Rīma ūthiūrūrūkīirie mītī ūkīmunyaga ria rīothe.
Note that use of herbicides is not recommended.,Nīwega kūmenya atī ūhūthīri wa dawa cia kūrīmīra ndwendekithītio.
How is pruning done in avocado?,Mītī ya mīkorobia īcehagwo atīa?
Apical bud of young plants should be nipped to slow growth and lead to a compact tree.,Mūrūri ūrīa wī harīa igūrū wagīrīire kūrengwo nīgetha mūtī ūtige kūraiha na waarame.
Lower branches that interfere with cultural activities including irrigation should be pruned.,Honge cia thī iria iragiria mītī īrīmīkīre wega kana īitīīrīrio maaī na njīra njega ciagīrīire nī gūcehwo.
Which crop should be used for intercropping in avocado production?,Nī mīmera īrīkū īngī īngīrīmwo hamwe na mīkorobia?
"Avocado orchards may be intercropped with other crops such as beans, peas, kale, or cabbage during the first 3-5 years to get economic returns from the land before the trees start bearing or produce economic returns","Mūgūnda wa mīkorobia noūhandwo mīmera īngī ta mboco, njūgū, matharū kana kabici mīaka ītatū kana īna ya mbere nīgetha ūingīhie umithio wa mūgūnda kamūiria magetha ma mīkorobia monekete."
What is the average yield per avocado tree?,Mūigana wa magetha ma mīkorobia kaingī nīūrīkū?
An avocado tree yields 230-320 kg (7.5-11 t ha–1) of fruit per year.,Mūtī wa mūkorobia ūciaraga gatagatī ga kiro 230-320kg kana tani 7.5-11 harī eka īmwe.
Grafted trees start bearing after 3-4 years after planting but economical crop is obtainable from the sixth year.,Mūtī wa gūciarithanio wambagia gūciara thutha wa mīaka ītatū nginya īna no magetha maingī monekaga thutha wa mīaka ītandatū.
Which standard regulate avocado production in Kenya?,Nī mūtaratara ūrīkū ūrūgamagīrīra ūrīmi wa makorobia gūkū Kenya?
Where can I get propagation materials for avocado be got?,Hihi ingīruta kū indo cia gūciarithania mīkorobia?
Farmers can also plant seeds (local varieties) at farm and later graft using scions from registered mother blocks.,Arīmi nomahande mbeū cia mītī ya kīmerera macoke mamīciarithanie na zayoni cia mītī īrīa mīhetūkie
The farmer can top-work the already existing avocado trees to introduce recommended varieties.,Mūrīmi no athondeke mītī ya mīkorobia īrīa īrī kuo na njīra ya kūmīciarithania na mīthemba īrīa yagīrīire.
What are essential elements in avocado production?,Hihi maūndū ma bata ūkūria-inī wa mīkorobia nī marīkū?
Potassium – important for yield and fruit quality.,Potassium-nīyabata kūingīhia magetha na gūthakaria matunda.
What are the potassium deficiency symptoms in avocado production?,Hihi nī maūndū marīkū monanagia ūnyihu wa potassium mītī-inī ya mīkorobia?
It is characterized by necrosis of leaf margin which starts from the top downwards.,Wagi ūyū wonanagia kūbutha kwa mathangū mīthia-inī kuuma mwena wa naigūrū nginya wanathī.
Fruit quality is highly reduced.,Ūthaka wa matunda ūkanyiha biū.
What are the boron deficiency symptoms in avocado production?,Hihi ndariri cia ūnyihu wa boron nīirīkū?
"It is characterized by apical and axillary growing points die off, leaves are distorted (crinkled with holes),","Ndariri cia ūnyihu wa boron nī hamwe na gūkua gwa thuna, mathangū kūgūnyara na kūgīa na marima."
What are the advantages of grafting in avocado production?,Hihi mawega ma gūceha mītī ya mīkorobia nīmarīkū?
Increases resistance to diseases;,Nī kūongagīrīra hinya wa mītī kūrūa na mīrimū.
Increases  adaptability to different types of soils;,Nī kūongagīrīra hinya wa mītī gūkūrīra tīīri-inī ngūrani.
Improve yield,Nī kūongagīrīra maciaro
