Reference,Kikuyu,English
Exodus 1:1,"Maya nĩmo marĩĩtwa ma ariũ a Isiraeli arĩa maathiire bũrũri wa Misiri hamwe na Jakubu, o mũndũ na andũ a nyũmba yake:","Now these are the names of the sons of Israel, who came into Egypt (every man and his household came with Jacob):"
Exodus 1:2,"Nao nĩ Rubeni, na Simeoni, na Lawi, na Juda;","Reuben, Simeon, Levi, and Judah,"
Exodus 1:3,"Isakaru, na Zebuluni na Benjamini;","Issachar, Zebulun, and Benjamin,"
Exodus 1:4,Dani na Nafitali; Gadi na Asheri.,"Dan and Naphtali, Gad and Asher."
Exodus 1:5,"Njiaro cia Jakubu ciothe ciarĩ mĩrongo mũgwanja; nowe Jusufu, aarĩ bũrũri wa Misiri o na mbere ĩyo.","All the souls who came out of Jacob’s body were seventy souls, and Joseph was in Egypt already."
Exodus 1:6,"Na rĩrĩ, Jusufu na ariũ a ithe othe, na rũciaro rũu ruothe rwa ihinda rĩu magĩkua,","Joseph died, as did all his brothers, and all that generation."
Exodus 1:7,"no andũ a Isiraeli magĩciarana na makĩingĩha mũno, magĩtuĩka aingĩ makĩria, o nginya makĩiyũra bũrũri ũcio.","The children of Israel were fruitful, and increased abundantly, and multiplied, and grew exceedingly mighty; and the land was filled with them."
Exodus 1:8,"Na rĩrĩ, mũthamaki ũngĩ ũtooĩ ũhoro wa Jusufu akĩambĩrĩria gũthamaka kũu bũrũri wa Misiri.","Now there arose a new king over Egypt, who didn’t know Joseph."
Exodus 1:9,"Nake akĩĩra andũ ake atĩrĩ, “Onei, andũ a Isiraeli nĩmaingĩhĩte mũno makĩria, magatũkĩria hinya.","He said to his people, “Behold,† the people of the children of Israel are more and mightier than we."
Exodus 1:10,"Gĩũkei, no nginya tũmathiĩ na wara nĩguo matikae kũingĩha mũno gũkĩra ũũ, tondũ kũngĩgĩa mbaara, no manyiitane na thũ ciitũ na marũe na ithuĩ, na macooke moore moime bũrũri ũyũ.”","Come, let’s deal wisely with them, lest they multiply, and it happen that when any war breaks out, they also join themselves to our enemies and fight against us, and escape out of the land.”"
Exodus 1:11,"Nĩ ũndũ ũcio andũ a Misiri makĩmaigĩra arori a ngombo mamahinyĩrĩrie na ũndũ wa kũmaru- tithia wĩra wa hinya, nao andũ a Isiraeli magĩaka Pithomu na Ramesese marĩ matũũra manene ma kũigwo indo cia Firaũni.",Therefore they set taskmasters over them to afflict them with their burdens. They built storage cities for Pharaoh: Pithom and Raamses.
Exodus 1:12,"No o ũrĩa maathiire na mbere kũhinyĩrĩrio-rĩ, noguo maaciaranire na makĩiyũra bũrũri-inĩ ũcio; nĩ ũndũ ũcio andũ a Misiri makĩambĩrĩria gwĩtigĩra andũ a Isiraeli mũno,","But the more they afflicted them, the more they multiplied and the more they spread out. They started to dread the children of Israel."
Exodus 1:13,na makĩmahinyĩrĩria na wĩra matekũmaiguĩra tha.,"The Egyptians ruthlessly made the children of Israel serve,"
