English,Kikuyu
What altitude does potato grow in Kenya?,Nīkūndū kūrīkū kūraihu mūno kūrīa waru ikūraga būrūri-inīwa Kenya?
Potatoes are traditionally grown between 1500 to 3000 metres Above Sea Level(m.a.s.l).,Waru ithinūkagio gatagatīka mita 1500 na 3000 igūrū wa iria ((m.a.s.l.).
"However, some new varieties can still do well in altitude below 1500 m.a.s.l.","O na kūrīūguo, mīthemba īmwe njerū no īkorūo na ūguni o na irīma-inīirīna igūrū rīa mita 1,500."
Which soil types favors potato growing in Kenya?,Nīmīthemba īrīkū ya tīīri īteithagia kūrīma waru būrūri-inīwa Kenya?
"Ideal soils for potatoes vary within the counties but usually loam soils (silt loam; clay loam) with adequate organic content, well-draining to light soils) are suitable.","Mūgūnda ūrīa mwega wa kūhanda waru ūkoragwo ūrīngūrani kūringana na kauntī, no kaingīnīmūgūnda wa tīīrī(cilt loam; clay loam) ūrīna indo cia kūigana cia kīīmwīrī, na ūkoragwo na mīhūmū mīega ya maaī."
Suitable soil pH ranges from 5.5-7.0. Ideal soil pH 5.8,pH ĩrĩa yagĩrĩire ya tĩĩri ĩkoragwo gatagatĩ ka 5.5-7.0. pH ĩrĩa yagĩrĩire ya tĩĩri 5.8
What is the ideal temperature for potato to grow?,Nīrīera rīrīkū rīega rīa gūkūria waru?
Potato do well or require a mean daily temperature range from 15-24( degrees Celcius),Waru nīciekaga wega na ūrugarīmwega kana nīībataraga rīera rīa o mūthenya rīa digrii 15-24°C
How much annual rainfall does potato require to grow?,Nīmbura īigana atīa ībataranagia o mwaka nīguo waru īhote gūkūra?
Potato require a Mean Rainfall of 1200-1800mm,Waru nīībataraga Mbura ya mūigana wa 1200-1800mm
When is the ideal time to plant potatoes in Kenya?,Nīhīndīīrīkū njega ya kūhanda waru Kenya?
The ideal planting time for potatoes in Kenya varies based on the region and altitude.,Ihinda rīrīa rīagīrīire rīa kūhanda waru būrūri-inīwa Kenya rītihaanaine kūringana na kūrīa irīna kūrīa irīkūraihu.
"Generally, potatoes are planted at the onset of the rainy season.","Kaingī, waru īhandwo kīambīrīria-inīkīa hīndīya mbura."
"For many areas, this translates to planting between March and May.","Kwa icigo nyingī, ūndū ūcio ūrehaga kūhanda gatagatī-inīka Machi na May."
"However, it's essential to consider local climatic conditions, and planting can be adjusted accordingly to ensure the crop receives adequate moisture for successful growth.","O na kūrīūguo, nīūndū wa bata gwīciria ūhoro wa rīera rīa kūu, na mīmera no īcenjio kūringana na rīo nīguo īkorūo na ūigananīru atīmbegū nīīgīaga na ūrugarīūrīa ūrabatarania nīguo īhote gūkūra wega."
Where do potato grow in Kenya?,Waru ikūraga kū Kenya?
"There are 13 major potato-producing counties which are: Meru,
Nyeri, Nyandarua, Kiambu, Taita-Taveta, Nakuru, Narok, Bomet, Elgeyo-Marakwet,
Trans-Nzoia, Bungoma, Uasin- Gishu and West Pokot","""Kūrīkaunti 13 nene iria ikūragia waru ta Meru, Nyeri, Nyandarua, Kiambu, Taita-Taveta, Nakuru, Narok, Bomet, Elgeyo-Marakwet Trans-Nzoia, Bungoma, Uasin-Gishu na West Pokot"""
