English,Kikuyu
What is the best time to plant bananas in Kenya?,Nī īhinda rīrīkū rīega rīa kūhanda marigū būrūri-inī wa Kenya?
"Bananas can be planted throughout the year in Kenya, but the best time is during the rainy season to ensure adequate soil moisture for young plants.","Marigū no mahandūo mahinda o mothe mwaka-inī, no ihinda rīega makīrīa rīa kuhanda nī rīrīa kūrī na mbura nyingī nīguo gūtigīrīra tīīrī wīna ūgūnyu wa kūigana kūrī mūmera."
What temperature do banana require to grow?,Nī gīthimi kīrīkū kīa ūrigarī kībatiī kūgacīra ūkūria wa marigū?
"For optimal growth, bananas require a warm humid climate.","Nīguo gūkūra wega, marigū mabatie rīera ria ūrūgarī na wūigū ūigananīīrie."
An average temperature of 20°C-30°C is required.,Ūrugarī wa kuuma gīthimi kīa 20°C nginya 30°C nī ūbatiī.
"At Below 20°C, normal plant growth is retarded.","Ūngīnyihīra gīthimi kīa 20°C, mūmera nī wīgucagia gūkūra"
Lacatan and Valery tolerates cold weather better than other varieties.,Mīthemba ya marigū ya Lacatan na Valery nī yūmagīrīria kūndū kūrī na heho gūkīra mīthemba īngī.
Cooler areas (higher altitudes) slow down plant development and the inflorescence may also fail to emerge.,Macigīrīra marīa marī na heho(kūndū kūrī igūrū) nīgūtūmaga marigū megucie gūkūra na mahūa nomage kumīra. .
What are the ideal climatic conditions for banana farming in Kenya?,Nī maūndū marīkū mega ma rīera mabataiī ūkūria-inī wa marigū būrūri-inī wa Kenya.
Bananas thrive in temperatures between 20°C and 30°C and require well-distributed rainfall throughout the year.,Marigū makūraga wega kūndū kūrī ūrūgarī wa 20°C nginya 30°C na mabataraga mbura īraura wega mwaka-inī wothe.
What is the recommended altitude to grow bananas?,Marigū mabatiī gūkūrio matūra-inī marī kūndu kūrī igūrū atīa?
Altitudes of below 1800 m above sea level are generally recommended for the production of bananas..,Marigū mendekithagio gūkūrio matūra-inī marī mita 1800 gūcoka nathī igūrū wa iria.
How much rainfall do banana require?,marigū mabataranaga mbura īīgana atīa?
Bananas can grow well with an annual rainfall of between 1000 and 2500 mm.,marigū no makūre wega na mbura ya mūigana wa milimita 1000 nginya 2500 o mwaka.
"optimal yields require a well distributed annual rainfall of 1400 mm or more, without long dry spells.","Nigūo kūgīa na magetha maingī, marigū mabatie mbura ya mūigana wa 1400mm kana makīria harī mwaka."
What are the major challenges faced by banana farmers in Kenya?,Nī mathīna marīkū magomeire arīmī a marigū Kenya?
"Challenges include pests, diseases, fluctuating market prices, limited access to credit, and inadequate infrastructure.","Mathina nī ta: tūtambi, mirīmū, gūcejia kwa mathogora mathoko-inī, kūaga kūheo lūni na kūaga ūthii wa nambere wa matūūra ukīnyanīīre īkīro."
Are there government support programs for banana farmers in Kenya?,Hihi nī kūrī honge cia thirikari ya Kenya iheyanaga ūteithio kūrī akūria a marigū?
"Yes, the Kenyan government offers various support programs, including subsidies, training, and access to credit for banana farmers.","Nī kūrī, thirikari ya Kenya nī īrī honge irīa iteithagia ūkūria wa marigū na njīra cia, kūnyīhīa mathogora, kubūdithia arīmī na kūhe arīmī mbeca cia wonjoria"
How can I improve the profitability of my banana farming operation?,Ingīongerera atia baita harī ūkūria wa Marigū
"Focus on cost-effective practices, market research, and adopting modern farming techniques to enhance profitability.","Rora makīria njīra cia kūnyihia ngarama, īka ūthuthuria mūiganu, rīma ūkīhūthīra njīra cia kīīrīu nīguo kuongerera baita"
Are there training programs available for new banana farmers in Kenya?,Hihi nī kūrī tabarīra cia ūrutani kūrī arīmī eru a marigū Kenya?
