Reference,Kikuyu,English
Luke 1:1,"Andũ aingĩ nĩmarĩkĩtie kwandĩka ũhoro wa maũndũ marĩa mahingĩtio gatagatĩ-inĩ gaitũ,","Since many have undertaken to set in order a narrative concerning those matters which have been fulfilled among us,"
Luke 1:2,o ta ũrĩa twaheirwo ũhoro wamo nĩ arĩa meyoneire maũndũ macio kuuma o kĩambĩrĩria marĩ aira na ndungata cia ũhoro ũcio.,"even as those who from the beginning were eyewitnesses and servants of the word delivered them to us,"
Luke 1:3,"Nĩ ũndũ ũcio, tondũ niĩ mwene nĩnduĩrĩtie maũndũ macio mothe wega kuuma kĩambĩrĩria-rĩ, ngakĩona arĩ wega o na niĩ ngwandĩkĩre mũtaratara mwega wa maũndũ macio, wee mũnene mũgaathe Theofilo,","it seemed good to me also, having traced the course of all things accurately from the first, to write to you in order, most excellent Theophilus;"
Luke 1:4,nĩgeetha ũmenye na ma maũndũ marĩa warutirwo.,that you might know the certainty concerning the things in which you were instructed.
Luke 1:5,"Na rĩrĩ, hĩndĩ ĩrĩa Herode aarĩ mũthamaki wa Judea, nĩ kwarĩ mũthĩnjĩri-Ngai wetagwo Zakaria, warĩ wa gĩkundi kĩa athĩnjĩri-Ngai kĩa Abija; mũtumia wake eetagwo Elizabethi na aarĩ wa rũciaro rwa Harũni.","There was in the days of Herod, the king of Judea, a certain priest named Zacharias, of the priestly division of Abijah. He had a wife of the daughters of Aaron, and her name was Elizabeth."
Luke 1:6,"O eerĩ maarĩ arũngĩrĩru maitho-inĩ ma Ngai, na nĩmathĩkagĩra maathani ma Mwathani na mawatho mothe matarĩ na ũcuuke.","They were both righteous before God, walking blamelessly in all the commandments and ordinances of the Lord."
Luke 1:7,Nao matiarĩ na twana tondũ Elizabethi aarĩ thaata; na eerĩ maarĩ akũrũ mũno.,"But they had no child, because Elizabeth was barren, and they both were well advanced in years."
Luke 1:8,"Na rĩrĩ, mũthenya ũmwe Zakaria nĩarutaga wĩra wa mũthĩnjĩri-Ngai arĩ mbere ya Ngai, tondũ rĩarĩ ihinda rĩa gĩkundi gĩake gũtungata-rĩ,",Now while he executed the priest’s office before God in the order of his division
Luke 1:9,"nĩathuurirwo na njĩra ya gũcuukĩrwo mĩtĩ, kũringana na mũtugo wa ũthĩnjĩri-Ngai, athiĩ thĩinĩ wa hekarũ ya Mwathani agacine ũbumba.","according to the custom of the priest’s office, his lot was to enter into the temple of the Lord and burn incense."
Luke 1:10,"Na rĩrĩa ihinda rĩa gũcina ũbumba rĩakinyire, kĩrĩndĩ gĩothe kĩrĩa kĩonganĩte nĩ ũndũ wa kũhooya, nĩ kĩahooyagĩra na kũu nja.",The whole multitude of the people were praying outside at the hour of incense.
Luke 1:11,"Hĩndĩ ĩyo mũraika wa Mwathani akiumĩrĩra Zakaria, na akĩrũgama mwena wa ũrĩo wa kĩgongona kĩrĩa gĩa gũcinĩra ũbumba.","An angel of the Lord appeared to him, standing on the right side of the altar of incense."
Luke 1:12,"Rĩrĩa Zakaria aamuonire, akĩhahũka na akĩiyũrwo nĩ guoya.","Zacharias was troubled when he saw him, and fear fell upon him."
